--------- beginning of main
03-21 02:45:27.194 30261 30386 I sharp_executorch_full: CPU inference: OMP_NUM_THREADS=8 (processors online=8)
--------- beginning of system
03-21 02:45:28.238  1581  1665 I ActivityManager: Start proc 30390:com.google.android.documentsui/u0a94 for next-top-activity {com.google.android.documentsui/com.android.documentsui.picker.TrampolineActivity}
03-21 02:45:42.483 30261 30386 D sharp_executorch_full: Part1 1x (1,1): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:42.483 30261 30386 D sharp_executorch_full: Part1 1x (1,1): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:42.487 30261 30386 D sharp_executorch_full: Part1 1x (1,1): calling Part2 forward
03-21 02:45:43.110 30261 30386 D sharp_executorch_full: Part1 1x (1,1): Part2 forward returned
03-21 02:45:43.774 30261 30386 D sharp_executorch_full: Part1 1x (1,2): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:43.775 30261 30386 D sharp_executorch_full: Part1 1x (1,2): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:43.775 30261 30386 D sharp_executorch_full: Part1 1x (1,2): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:43.778 30261 30386 D sharp_executorch_full: Part1 1x (1,2): calling Part2 forward
03-21 02:45:44.428 30261 30386 D sharp_executorch_full: Part1 1x (1,2): Part2 forward returned
03-21 02:45:45.083 30261 30386 D sharp_executorch_full: Part1 1x (1,3): getting output tensors (readback may sync Vulkan fence)
03-21 02:45:45.083 30261 30386 D sharp_executorch_full: Part1 1x (1,3): tokPtr=0xb40000706c083af0 (after token readback)
03-21 02:45:45.083 30261 30386 D sharp_executorch_full: Part1 1x (1,3): spaPtr=0xb4000070701fbbb0 (after spatial readback)
03-21 02:45:45.087 30261 30386 D sharp_executorch_full: Part1 1x (1,3): calling Part2 forward
03-21 02:45:45.748 30261 30386 D sharp_executorch_full: Part1 1x (1,3): Part2 forward returned
